Date,Pharmacy,Location,Drug,Brand,Price,Quantity,Supplier_Name,Batch_Number,Expiry_Date,Sales_Channel,Drug_Form
31/03/2025,Morales-Jones,Urban,Coartem,MediPlus,3074.93,63,"Brooks, Lam and Hayes",gM-42940-Bw,12/11/2026,In-Store,Injection
24/02/2025,"Reid, Ferguson and Sanchez",Urban,Amoxicillin,MediPlus,611.14,63,"Woods, Calhoun and Schmidt",yK-56981-mq,30/05/2025,In-Store,Syrup
25/01/2025,Garcia-James,Rural,Coartem,PharmaTrust,4828.94,70,Novak PLC,xB-60883-eQ,11/04/2027,Market Stall,Syrup
31/08/2024,Spence PLC,Rural,Ciprofloxacin,BioCare,2302.88,67,,tQ-95148-Au,04/03/2026,In-Store,Syrup
20/01/2025,Williams and Sons,Urban,Amlodipine,Hea1thFirst,3024.51,1,Chapman and Sons,Qy-48236-RV,28/03/2027,Market Stall,Tablet
01/07/2024,Williams and Sons,Urban,Amoxicillin,MediPlus,2667.95,36,House-Glover,at-99468-sn,25/03/2026,Mobile Van,Syrup
,"Dyer, Potter and Mack",Urban,Chloroquine,HealthFirst,3966.17,53,"Washington, Ryan and Cummings",CR-99577-nG,28/04/2026,In-Store,Tablet
27/02/2025,Rodriguez LLC,Rural,Amlodipine,PharmaTrust,4346.42,7,House-Glover,vf-21489-Wp,30/09/2026,Market Stall,Tablet
23/08/2024,Davis and Sons,Rural,Amlodipine,MediPlus,1393.55,25,Novak and Sons,pE-33200-NX,21/06/2025,Mobile Van,Syrup
18/10/2024,"Hoffman, Baker and Richards",Urban,Metformin,MediPlus,2327.03,71,"Robinson, Jones and Welch",zp-69367-jP,12/10/2026,In-Store,Tablet
27/04/2024,"Gardner, Robinson and Lawrence",Urban,Paracetamol,PharmaTrust,1225.99,52,Jones Inc,Dd-16328-Jp,08/04/2027,In-Store,Syrup
20/03/2025,"Walter, Edwards and Rios",Urban,Ciprofloxacin,PharmaTrust,1569.2,90,"Stanley, Tucker and Lee",JM-17278-uW,19/03/2027,Market Stall,Capsule
13/10/2024,Abbott-Munoz,Urban,Metformin,MediPlus,2980.07,70,Walker LLC,kV-98687-EC,13/11/2025,Market Stall,Injection
10/02/2025,Davis and Sons,Urban,Chloroquine,HealthFirst,473.02,66,Chapman and Sons,rC-34873-eT,03/12/2025,In-Store,Tablet
25/07/2024,Harrell LLC,Urban,Ibuprofen,HealthFirst,2978.81,6,Hancock Inc,ij-45581-oy,17/10/2026,In-Store,Capsule
23/06/2024,Rodriguez LLC,Rural,Metformin,BioCare,1345.69,51,Jones Inc,ID-31665-Ad,03/10/2025,Market Stall,Injection
14/03/2025,"Snyder, Campos and Callahan",Rural,Artemisinin,MediPluz,551.65,28,Williams PLC,yE-66909-aw,13/12/2025,Mobile Van,Syrup
11/02/2025,Perez Inc,Urban,Ibuprofen,HealthFirst,2303.29,70,Henderson-Bernard,oF-66889-or,30/03/2026,Mobile Van,Tablet
30/10/2024,Rodriguez LLC,Rural,Artemisinin,HealthFirst,1469.44,14,"Stanley, Tucker and Lee",Di-06562-NI,16/05/2025,Market Stall,Syrup
12/04/2025,"Flowers, Martin and Kelly",Rural,Chloroquine,BioCare,1177.27,82,Yu Inc,PB-69901-iD,14/09/2025,Mobile Van,Capsule
14/05/2024,James Group,Urban,Artemisinin,BioCare,411.62,43,Novak PLC,uv-46537-Wy,28/11/2025,In-Store,Injection
11/02/2025,Blair PLC,Rural,Coartem,MediPlus,736.99,89,Jones Inc,VI-64170-dw,17/10/2025,In-Store,Tablet
02/01/2025,Morales-Jones,Urban,Ciprofloxacin,Biokare,1950.33,6,Jones Inc,bN-10033-jp,02/08/2025,Mobile Van,Syrup
25/10/2024,Allen-Allen,Urban,Artemisinin,PharmaTrust,4874.42,96,Jones Inc,Xx-19374-kM,10/08/2026,In-Store,Syrup
09/02/2025,Dudley Group,Rural,Amoxicillin,BioCare,3955.46,53,"Daniels, Adkins and Brown",bt-12419-KR,01/04/2027,Market Stall,Syrup
17/09/2024,"Flowers, Martin and Kelly",Urban,Artemisinin,MediPlus,4321.25,29,,gS-63193-Xt,15/02/2027,Mobile Van,Injection
15/01/2025,"Reid, Ferguson and Sanchez",Urban,Ibuprofen,Hea1thFirst,2112.64,36,Yu Inc,IB-91905-Qx,18/06/2025,In-Store,Injection
07/11/2024,Perez Inc,Rural,Coartem,MediPlus,753.64,34,Jones-Young,Bx-50671-OD,27/10/2026,Market Stall,Injection
23/06/2024,"Mcclain, Miller and Henderson",Urban,Chloroquine,BioCare,2294.69,66,"Robinson, Jones and Welch",ZI-62849-XE,22/04/2026,Mobile Van,Syrup
11/10/2024,James Group,Urban,Ciprofloxacin,Hea1thFirst,1948.26,9,House-Glover,rC-94531-pW,21/04/2026,Mobile Van,Injection
02/12/2024,Rodriguez LLC,Urban,Metformin,PharmaTrust,1765.68,90,Gomez-Jenkins,ul-96507-Fn,26/01/2026,Market Stall,Syrup
28/02/2025,Arnold Ltd,Rural,Ciprofloxacin,HealthFirst,3154.47,39,,Ja-45494-Hm,01/07/2025,Market Stall,Tablet
27/07/2024,"Reid, Ferguson and Sanchez",Rural,Ibuprofen,BioCare,2431.94,57,House-Glover,PT-67837-FC,01/01/2027,In-Store,Capsule
01/05/2024,"Martin, Rose and Obrien",Urban,Artemisinin,BioCare,648.26,97,"Johnston, Sanchez and Kennedy",tQ-14363-Lx,28/04/2026,Market Stall,Injection
25/11/2024,Williams and Sons,Urban,Paracetamol,Hea1thFirst,4922.89,79,Yu Inc,wS-85685-Dr,20/12/2025,In-Store,Capsule
31/07/2024,Baker and Sons,Urban,Ciprofloxacin,HealthFirst,908.34,89,"Brooks, Lam and Hayes",VI-31351-WS,16/09/2025,In-Store,Capsule
08/07/2024,Williams and Sons,Urban,Coartem,HealthFirst,4603.86,16,Baxter Inc,Ms-37498-gm,12/12/2025,In-Store,Capsule
22/07/2024,Rodriguez LLC,Rural,Azithromycin,PharmaTrust,4186.73,71,Baxter Inc,ir-52408-cd,29/06/2026,In-Store,Capsule
16/08/2024,"Ross, Robinson and Bright",Rural,Ibuprofen,BioCare,3875.91,67,Morton-Chase,sE-27109-EC,15/01/2026,Market Stall,Syrup
05/07/2024,"Flowers, Martin and Kelly",Rural,Artemisinin,HealthFirst,1504.23,41,Jones Inc,zF-04711-eK,27/08/2026,Market Stall,Tablet
16/01/2025,Garcia-James,Urban,Ibuprofen,HealthFirst,3590.81,9,"West, Henderson and Ramirez",fp-02294-hJ,10/12/2026,Mobile Van,Injection
03/10/2024,"Dyer, Potter and Mack",Rural,Ciprofloxacin,FarmaTrust,2069.49,99,Russell Group,yC-99938-Ct,23/02/2027,Market Stall,Tablet
09/12/2024,Hickman Ltd,Rural,Azithromycin,Biokare,1633.34,50,Yu Inc,NV-64990-gW,04/10/2025,Mobile Van,Syrup
23/12/2024,Carlson-Cruz,Urban,Metformin,MediPlus,2066.51,86,,lJ-34123-ek,28/04/2025,Mobile Van,Syrup
30/09/2024,"Snyder, Campos and Callahan",Urban,Chloroquine,PharmaTrust,3041.09,85,"Brooks, Lam and Hayes",os-79740-Ts,24/10/2026,In-Store,Capsule
24/03/2025,Garcia-James,Rural,Paracetamol,FarmaTrust,1771.29,59,"Brown, Valdez and Lucas",QZ-71349-mB,24/07/2025,Mobile Van,Capsule
22/11/2024,"Flowers, Martin and Kelly",Rural,Metformin,PharmaTrust,293.04,70,Walker LLC,dk-32421-Yt,01/08/2026,Mobile Van,Syrup
09/02/2025,George Group,Urban,Amoxicillin,HealthFirst,1156.93,3,Hancock Inc,St-94717-Sz,23/11/2025,In-Store,Syrup
05/11/2024,Garcia-James,Rural,Artemisinin,HealthFirst,2432.16,33,Novak PLC,cB-87719-Vu,07/08/2026,Mobile Van,Syrup
31/07/2024,Harrell LLC,Urban,Paracetamol,MediPlus,2977.69,40,,bW-01399-Rr,17/07/2026,Market Stall,Capsule
10/05/2024,Wilkerson-Day,Urban,Artemisinin,HealthFirst,689.13,99,Gomez-Jenkins,lL-27874-BO,18/01/2027,Market Stall,Tablet
01/11/2024,Smith-Bowen,Urban,Amlodipine,BioCare,530.99,83,"Brown, Valdez and Lucas",uQ-17565-gk,07/01/2026,In-Store,Capsule
01/10/2024,Carlson-Cruz,Urban,Ciprofloxacin,PharmaTrust,3595.08,56,Jones-Young,Df-74680-uq,02/01/2026,Market Stall,Injection
09/06/2024,"Romero, Gonzalez and Brooks",Rural,Azithromycin,BioCare,1747.06,32,"Woods, Calhoun and Schmidt",Ad-68087-mH,01/02/2026,In-Store,Injection
22/12/2024,"Ross, Robinson and Bright",Urban,Azithromycin,PharmaTrust,1814.7,64,Yu Inc,Ji-77034-sC,11/03/2027,Mobile Van,Syrup
21/01/2025,Carlson-Cruz,Urban,Amlodipine,BioCare,1542.36,77,Henderson-Bernard,Tk-71093-tJ,06/05/2025,Mobile Van,Tablet
25/11/2024,Frazier Inc,Urban,Artemisinin,PharmaTrust,2545.17,98,"Johnston, Sanchez and Kennedy",hP-61317-jF,20/04/2027,Market Stall,Capsule
28/01/2025,George Group,Rural,Azithromycin,MediPlus,1612.33,52,Henderson-Bernard,Ep-48467-DJ,16/08/2025,In-Store,Injection
20/09/2024,Rodriguez LLC,Rural,Azithromycin,BioCare,2242.42,96,Novak and Sons,rX-39821-YA,14/01/2026,Mobile Van,Injection
22/04/2025,"Arroyo, Miller and Tucker",Rural,Metformin,HealthFirst,779.15,25,"Brown, Valdez and Lucas",LL-84044-QF,27/02/2027,In-Store,Syrup
21/06/2024,Arnold Ltd,Urban,Azithromycin,BioCare,4906.45,25,Gomez-Jenkins,JW-78755-Iy,14/04/2026,In-Store,Injection
22/04/2025,Dudley Group,Rural,Amoxicillin,HealthFirst,1516.69,7,Novak and Sons,oX-53396-Ac,29/12/2025,Mobile Van,Syrup
08/02/2025,Ryan PLC,Rural,Artemisinin,BioCare,2453.11,57,"Brown, Valdez and Lucas",ci-76627-GL,08/01/2026,In-Store,Tablet
28/03/2025,James Group,Rural,Artemisinin,PharmaTrust,2560.38,74,Gray Group,aU-17187-jA,03/03/2027,Market Stall,Tablet
04/01/2025,Abbott-Munoz,Urban,Chloroquine,MediPlus,4970.81,16,Novak and Sons,NS-21745-zP,27/06/2025,Mobile Van,Syrup
21/03/2025,"Harris, Collins and Carney",Rural,Azithromycin,BioCare,4328.8,55,Gomez-Jenkins,Ic-58657-Ne,25/10/2025,Market Stall,Tablet
26/12/2024,"Romero, Gonzalez and Brooks",Urban,Ibuprofen,BioCare,3370.06,21,"Johnston, Sanchez and Kennedy",WO-43161-Tg,05/04/2026,In-Store,Tablet
28/06/2024,Blair PLC,Urban,Ciprofloxacin,PharmaTrust,1598.04,30,Gomez-Jenkins,sw-40050-xB,17/08/2025,Market Stall,Injection
28/07/2024,"Arroyo, Miller and Tucker",Rural,Artemisinin,BioCare,3981.57,81,Russell Group,lf-86922-Ny,20/08/2026,Market Stall,Syrup
15/01/2025,"Hoffman, Baker and Richards",Urban,Coartem,HealthFirst,4560.37,19,Chapman and Sons,DO-37923-qD,10/11/2025,In-Store,Syrup
08/01/2025,"Reid, Ferguson and Sanchez",Rural,Azithromycin,Biokare,3558.72,35,Williams PLC,eC-07482-wL,14/12/2025,Market Stall,Capsule
29/12/2024,"Ross, Robinson and Bright",Urban,Chloroquine,FarmaTrust,3725.76,78,Lee-Davis,yE-64743-gp,16/02/2026,In-Store,Tablet
03/12/2024,Williams and Sons,Urban,Metformin,HealthFirst,2458.4,84,Baxter Inc,Qz-59440-ra,09/07/2026,Mobile Van,Syrup
26/03/2025,"Baker, Mason and White",Rural,Azithromycin,PharmaTrust,1870.21,43,"Brown, Valdez and Lucas",MZ-09743-wo,02/09/2026,Market Stall,Tablet
07/07/2024,Blair PLC,Rural,Ciprofloxacin,BioCare,3380.4,52,"Woods, Calhoun and Schmidt",tY-94210-Cc,20/07/2026,Market Stall,Tablet
13/09/2024,"Snyder, Campos and Callahan",Urban,Amlodipine,MediPlus,4856.89,52,Yu Inc,lm-21456-iY,18/06/2026,Market Stall,Tablet
31/03/2025,Rodriguez LLC,Rural,Ciprofloxacin,Biokare,3188.64,64,Gray Group,qE-58842-Zs,26/11/2026,Mobile Van,Tablet
29/03/2025,"Mcclure, Ward and Lee",Rural,Coartem,Biokare,2302.96,90,Morton-Chase,Wo-51712-RU,01/10/2026,In-Store,Tablet
26/09/2024,Ryan PLC,Urban,Paracetamol,MediPlus,2850.81,12,"Johnston, Sanchez and Kennedy",qI-85160-hD,06/02/2026,In-Store,Capsule
11/01/2025,"Henderson, Ramirez and Lewis",Urban,Azithromycin,BioCare,2642.59,35,"West, Henderson and Ramirez",Ro-49651-Eb,20/08/2026,Mobile Van,Capsule
03/04/2025,Galloway-Wyatt,Rural,Coartem,Hea1thFirst,4624.97,66,"Stanley, Tucker and Lee",OD-85931-St,12/09/2026,In-Store,Tablet
30/09/2024,"Flowers, Martin and Kelly",Rural,Amlodipine,BioCare,4138.64,37,"Stanley, Tucker and Lee",Fh-12004-gp,16/03/2027,Mobile Van,Capsule
19/11/2024,Abbott-Munoz,Rural,Coartem,BioCare,2849.2,70,Wright and Sons,AL-26758-VU,24/08/2025,Mobile Van,Injection
03/04/2025,Arnold Ltd,Urban,Chloroquine,PharmaTrust,409.51,96,Morton-Chase,rc-61796-Sx,11/10/2025,Market Stall,Capsule
14/10/2024,"Walter, Edwards and Rios",Urban,Azithromycin,HealthFirst,2611,76,"Brown, Valdez and Lucas",IP-73515-wd,01/03/2026,In-Store,Capsule
10/08/2024,Blake and Sons,Rural,Amoxicillin,PharmaTrust,4380.48,20,Chapman and Sons,PO-31713-Mb,04/06/2025,Mobile Van,Injection
24/02/2025,"Watts, Robinson and Nguyen",Rural,Artemisinin,PharmaTrust,4779.87,81,Henderson-Bernard,eW-53293-Jn,25/07/2026,Mobile Van,Tablet
17/07/2024,"Romero, Gonzalez and Brooks",Urban,Ibuprofen,BioCare,4987.64,96,Chapman and Sons,rj-35290-iI,06/11/2025,Mobile Van,Tablet
01/03/2025,Hickman Ltd,Urban,Azithromycin,BioCare,4536.44,6,"Brown, Valdez and Lucas",wY-21020-Yp,27/07/2026,In-Store,Injection
28/08/2024,Perez Inc,Rural,Ciprofloxacin,FarmaTrust,2916.45,24,Jones-Young,VA-02402-Hh,26/11/2026,In-Store,Tablet
19/05/2024,"Romero, Gonzalez and Brooks",Rural,Chloroquine,PharmaTrust,4581.58,19,"Johnston, Sanchez and Kennedy",gC-77589-Go,16/08/2026,Mobile Van,Injection
11/05/2024,"Snyder, Campos and Callahan",Rural,Amoxicillin,PharmaTrust,4525.81,87,Novak and Sons,Ez-84700-BR,18/07/2025,In-Store,Tablet
01/11/2024,"Ross, Robinson and Bright",Rural,Chloroquine,PharmaTrust,3513.5,59,Yu Inc,je-71159-ir,23/08/2026,Mobile Van,Syrup
26/12/2024,"Walter, Edwards and Rios",Rural,Artemisinin,BioCare,2959.1,90,Gomez-Jenkins,Hs-98569-DG,09/08/2026,In-Store,Capsule
09/10/2024,"Flowers, Martin and Kelly",Urban,Chloroquine,MediPlus,4570.96,96,Morton-Chase,Co-11836-Av,28/01/2027,Mobile Van,Syrup
18/10/2024,Harrell LLC,Rural,Ibuprofen,BioCare,3453.27,93,Novak PLC,uQ-66156-qx,22/08/2025,Market Stall,Syrup
16/01/2025,Ryan PLC,Urban,Amoxicillin,PharmaTrust,360.15,47,"Stanley, Tucker and Lee",Bg-71111-VV,09/02/2026,In-Store,Tablet
06/03/2025,"Adams, Zuniga and Wong",Rural,Ciprofloxacin,HealthFirst,3975.26,47,Williams PLC,Jv-28098-Qh,11/03/2026,Market Stall,Injection
09/09/2024,Blair PLC,Rural,Azithromycin,BioCare,3783.48,44,"Daniels, Adkins and Brown",wg-60494-KG,08/10/2025,In-Store,Capsule
24/06/2024,"Guzman, Hoffman and Baldwin",Urban,Ibuprofen,PharmaTrust,4842.89,72,Powell LLC,xh-73158-Wr,15/07/2026,In-Store,Capsule
21/07/2024,"Rodriguez, Figueroa and Sanchez",Rural,Coartem,Biokare,3429.58,87,Lee-Davis,bM-68998-QS,19/11/2025,Market Stall,Capsule
06/05/2024,Ryan PLC,Rural,Artemisinin,PharmaTrust,320.12,72,"Brown, Valdez and Lucas",al-24455-jK,18/09/2026,Market Stall,Syrup
27/09/2024,George Group,Urban,Azithromycin,BioCare,3316.35,15,Jones Inc,ny-12018-AD,15/01/2026,In-Store,Tablet
25/06/2024,"Reid, Ferguson and Sanchez",Rural,Artemisinin,Hea1thFirst,2065.5,48,House-Glover,fd-54599-jk,02/12/2026,Market Stall,Capsule
20/12/2024,"Baker, Mason and White",Urban,Ciprofloxacin,PharmaTrust,3155.13,36,Walker LLC,FM-01476-CA,24/11/2025,Market Stall,Injection
17/07/2024,"Mcclure, Ward and Lee",Rural,Azithromycin,BioCare,676.9,88,Powell LLC,sR-81561-RL,08/05/2026,Market Stall,Injection
15/11/2024,Davis and Sons,Rural,Metformin,MediPlus,4755.25,59,Chapman and Sons,da-40369-nt,07/10/2025,Market Stall,Syrup
17/02/2025,George Group,Urban,Amoxicillin,HealthFirst,4946.34,73,,aF-24451-VB,09/09/2025,In-Store,Syrup
14/06/2024,"Baker, Mason and White",Urban,Ibuprofen,HealthFirst,3985.49,77,"Brooks, Lam and Hayes",QZ-68388-we,28/02/2026,Mobile Van,Syrup
25/03/2025,Garcia-James,Rural,Paracetamol,MediPluz,832.66,46,"Daniels, Adkins and Brown",uK-06071-BK,06/03/2026,In-Store,Injection
25/01/2025,Doyle Ltd,Urban,Metformin,FarmaTrust,2725.21,96,Chapman and Sons,uk-64160-ZN,18/04/2026,Mobile Van,Capsule
14/03/2025,"Harris, Collins and Carney",Rural,Coartem,PharmaTrust,2618.43,79,Walker LLC,BL-51613-zH,26/06/2025,Market Stall,Injection
25/09/2024,"Snyder, Campos and Callahan",Urban,Amoxicillin,PharmaTrust,2246.11,14,Morton-Chase,eG-45352-Oh,12/06/2026,Market Stall,Capsule
09/11/2024,"Guzman, Hoffman and Baldwin",Urban,Amlodipine,MediPlus,805.72,80,Gray Group,gj-35523-qm,07/09/2025,Market Stall,Injection
14/12/2024,"Walter, Edwards and Rios",Rural,Azithromycin,PharmaTrust,676.06,90,"Robinson, Jones and Welch",WK-21277-WL,09/04/2026,Market Stall,Syrup
14/01/2025,"Hoffman, Baker and Richards",Rural,Ibuprofen,PharmaTrust,2113.9,94,"Robinson, Jones and Welch",Ce-99552-EC,29/08/2026,Mobile Van,Capsule
20/08/2024,Gray-Mayo,Rural,Amlodipine,PharmaTrust,522.24,11,,et-49058-DC,25/05/2025,Mobile Van,Tablet
17/05/2024,"Martin, Rose and Obrien",Rural,Paracetamol,BioCare,3416.06,53,Powell LLC,MG-54119-yD,20/07/2026,Market Stall,Capsule
26/11/2024,Anderson Group,Urban,Metformin,BioCare,697.28,65,"Washington, Ryan and Cummings",ME-07935-Gj,13/06/2025,In-Store,Capsule
16/10/2024,Williams and Sons,Urban,Amlodipine,BioCare,751.45,36,Russell Group,cp-15182-TC,02/04/2026,In-Store,Capsule
14/11/2024,Rodriguez-Graham,Urban,Chloroquine,BioCare,338.98,35,Henderson-Bernard,sy-89255-AX,13/01/2026,Mobile Van,Injection
13/01/2025,Perez Inc,Urban,Paracetamol,PharmaTrust,534.01,95,Gray Group,gJ-90515-Ry,02/12/2025,In-Store,Tablet
31/07/2024,"Martin, Rose and Obrien",Urban,Ciprofloxacin,BioCare,955.56,40,"Stanley, Tucker and Lee",Qj-92519-wt,17/09/2026,Mobile Van,Tablet
21/01/2025,Davis and Sons,Urban,Paracetamol,MediPlus,3435.05,35,Baxter Inc,Jy-62914-PY,06/01/2026,Market Stall,Capsule
06/03/2025,Carlson-Cruz,Rural,Ciprofloxacin,MediPlus,1856.83,15,Gomez-Jenkins,xb-28168-xt,13/09/2025,Market Stall,Capsule
17/07/2024,Frazier Inc,Rural,Amoxicillin,MediPlus,236.9,39,"Washington, Ryan and Cummings",je-57332-sY,13/07/2025,In-Store,Injection
08/11/2024,"Adams, Zuniga and Wong",Rural,Artemisinin,FarmaTrust,1043.34,49,,iM-88059-yj,30/08/2025,Market Stall,Syrup
04/07/2024,"Ferrell, Rice and Maddox",Rural,Artemisinin,MediPlus,2293.85,59,"Hensley, Powell and David",xR-92706-Up,06/04/2026,In-Store,Injection
18/12/2024,Smith-Bowen,Rural,Chloroquine,PharmaTrust,1589.67,52,"Brooks, Lam and Hayes",tZ-47383-YE,29/03/2027,Mobile Van,Syrup
15/03/2025,"Romero, Gonzalez and Brooks",Rural,Amlodipine,MediPluz,1367.92,76,Wright and Sons,Xs-35977-Xy,21/05/2026,Market Stall,Tablet
15/11/2024,Wilkerson-Day,Rural,Amlodipine,HealthFirst,566.62,82,"Robinson, Jones and Welch",qd-62392-PE,05/03/2027,Market Stall,Syrup
16/09/2024,"Harris, Collins and Carney",Rural,Amlodipine,HealthFirst,1334.09,19,Lee-Davis,fW-81814-kr,09/04/2026,In-Store,Syrup
11/04/2025,Harrell LLC,Urban,Artemisinin,PharmaTrust,2426.97,73,Novak PLC,Cw-82613-bA,06/06/2025,Market Stall,Capsule
25/09/2024,Allen-Allen,Rural,Amlodipine,MediPlus,2450.82,81,,xo-85361-bu,18/04/2027,Mobile Van,Tablet
02/06/2024,Perez Inc,Urban,Metformin,MediPlus,473.07,37,Chapman and Sons,ES-52204-iW,26/10/2026,Market Stall,Tablet
24/10/2024,"Romero, Gonzalez and Brooks",Rural,Azithromycin,MediPlus,2358.72,74,Gray Group,qn-79010-jJ,11/11/2026,In-Store,Injection
17/12/2024,Harrell LLC,Rural,Coartem,MediPlus,2362.51,44,Henderson-Bernard,th-86143-dp,18/03/2026,In-Store,Syrup
29/12/2024,"Mcclain, Miller and Henderson",Urban,Azithromycin,HealthFirst,1946.71,37,Wright and Sons,MI-97117-bO,31/05/2026,Mobile Van,Injection
04/12/2024,Allen-Allen,Urban,Amlodipine,MediPluz,2878.22,50,Gomez-Jenkins,Nw-32460-pK,15/03/2026,Mobile Van,Syrup
06/07/2024,"Watts, Robinson and Nguyen",Urban,Chloroquine,BioCare,1689.11,84,Henderson-Bernard,IG-18518-YG,30/06/2026,Market Stall,Capsule
02/05/2024,Garcia-James,Urban,Metformin,BioCare,4103.29,86,Henderson-Bernard,qV-67065-bw,29/12/2026,Market Stall,Tablet
21/05/2024,George Group,Rural,Coartem,BioCare,1682.56,28,"Brown, Valdez and Lucas",ic-53195-wI,13/01/2026,Mobile Van,Syrup
06/03/2025,Williams and Sons,Urban,Paracetamol,MediPluz,2636.91,70,,eT-27722-XD,24/05/2025,Market Stall,Tablet
16/08/2024,Rodriguez LLC,Rural,Chloroquine,FarmaTrust,940.41,24,"Woods, Calhoun and Schmidt",tG-30305-zI,28/04/2026,Market Stall,Syrup
01/08/2024,Anderson Group,Rural,Amoxicillin,HealthFirst,4854.03,79,Gomez-Jenkins,Pv-03450-rh,06/01/2027,Market Stall,Capsule
14/09/2024,Williams and Sons,Urban,Metformin,PharmaTrust,4539.08,25,Powell LLC,lF-66765-SF,05/02/2026,Market Stall,Capsule
18/04/2025,"Snyder, Campos and Callahan",Rural,Ciprofloxacin,PharmaTrust,4838.09,26,"Daniels, Adkins and Brown",BM-84161-lI,10/12/2025,Market Stall,Syrup
27/08/2024,James Group,Urban,Azithromycin,MediPlus,3614.72,67,Yu Inc,CM-11544-TB,02/09/2025,In-Store,Injection
17/01/2025,"Gardner, Robinson and Lawrence",Urban,Metformin,HealthFirst,4189.02,12,"Hensley, Powell and David",NB-75705-rO,31/12/2026,In-Store,Capsule
17/05/2024,Perez Inc,Urban,Ciprofloxacin,Biokare,1331.73,11,Powell LLC,bj-16582-MR,23/12/2026,In-Store,Tablet
12/10/2024,Gray-Mayo,Urban,Amlodipine,HealthFirst,383.86,61,Henderson-Bernard,xy-02135-Kc,08/08/2026,In-Store,Capsule
23/06/2024,"Ross, Robinson and Bright",Urban,Artemisinin,Hea1thFirst,4207.82,71,"Stanley, Tucker and Lee",Ki-75571-Hx,01/03/2026,Market Stall,Capsule
25/08/2024,"Henderson, Ramirez and Lewis",Rural,Ibuprofen,MediPlus,1344.51,82,"Daniels, Adkins and Brown",FH-43102-yJ,26/07/2025,Market Stall,Capsule
04/08/2024,"Guzman, Hoffman and Baldwin",Urban,Azithromycin,MediPlus,3233.38,74,"Johnston, Sanchez and Kennedy",SF-47394-mh,09/08/2025,Market Stall,Syrup
22/03/2025,"Adams, Zuniga and Wong",Rural,Amoxicillin,HealthFirst,2939.19,24,House-Glover,ZR-17271-uQ,20/01/2026,Market Stall,Tablet
25/01/2025,Frazier Inc,Rural,Artemisinin,MediPlus,2074.18,61,Walker LLC,kT-18844-TS,03/09/2026,Market Stall,Capsule
01/07/2024,Morales-Jones,Rural,Amoxicillin,MediPlus,1855.05,94,House-Glover,Yi-58313-pY,14/05/2026,Market Stall,Tablet
05/05/2024,"Harris, Collins and Carney",Rural,Paracetamol,Biokare,4104.84,23,"Woods, Calhoun and Schmidt",ZJ-58957-iN,13/03/2027,Market Stall,Capsule
28/05/2024,"Arroyo, Miller and Tucker",Rural,Paracetamol,MediPlus,3637.02,59,Walker LLC,AX-14678-AK,22/06/2025,Mobile Van,Syrup
